umidade,temperatura,ph,nitrogenio,fosforo,potassio,chuva,volume_irrigacao_L,status_irrigacao,umidade_futura,rendimento_t_ha
80.48,23.52,7.37,39.05,56.38,40.46,24.62,141.42,DESLIGADA,90.23,8.0
66.2,35.31,6.34,43.9,23.28,55.77,11.32,466.43,LIGADA,85.86,7.28
88.65,22.78,6.15,69.92,27.59,29.09,14.19,456.72,DESLIGADA,100.0,8.0
77.45,37.62,6.49,12.59,32.63,45.41,26.09,437.1,DESLIGADA,99.61,7.0
26.98,36.21,5.05,20.09,52.9,68.2,2.24,390.76,DESLIGADA,39.95,6.34
65.49,35.04,7.56,70.15,25.9,29.0,21.56,379.7,LIGADA,83.94,8.0
63.22,22.7,7.05,30.12,17.51,15.42,29.35,380.18,LIGADA,86.49,4.87
83.24,18.92,7.39,30.54,25.62,18.73,15.93,282.96,LIGADA,98.38,6.52
31.9,19.58,7.61,53.38,18.25,64.77,4.29,230.57,DESLIGADA,40.8,6.75
82.92,27.31,5.86,48.26,9.06,66.71,29.63,149.58,DESLIGADA,93.83,8.0
68.32,27.14,5.91,79.96,51.93,16.4,11.44,179.48,DESLIGADA,75.3,8.0
88.46,31.16,5.82,49.62,42.72,54.68,1.47,303.2,DESLIGADA,97.83,8.0
78.3,36.06,7.33,26.11,49.11,23.14,5.7,125.31,LIGADA,79.06,6.04
65.24,24.18,6.32,50.57,45.28,15.41,8.85,373.74,LIGADA,81.75,6.82
34.06,33.73,7.63,35.61,32.6,26.35,4.94,457.02,DESLIGADA,51.65,6.3
80.93,34.08,6.4,15.27,46.48,23.54,20.29,337.2,DESLIGADA,97.06,6.37
87.71,34.09,6.1,65.35,5.77,42.19,13.64,336.41,DESLIGADA,100.0,7.54
85.82,20.17,5.7,11.75,53.63,43.68,27.46,110.68,LIGADA,95.56,6.51
64.48,27.29,7.1,55.45,11.42,12.72,1.12,497.96,LIGADA,84.26,7.46
29.5,27.07,7.01,62.02,57.03,35.15,22.27,77.26,DESLIGADA,34.63,8.0
65.84,34.67,6.85,75.73,20.39,51.42,6.52,222.35,LIGADA,71.98,8.0
68.0,28.89,7.93,35.11,26.9,21.39,3.66,424.02,DESLIGADA,84.52,5.95
26.42,22.24,6.92,77.98,7.78,30.01,29.66,393.49,LIGADA,50.54,8.0
34.5,22.32,7.61,33.0,13.12,64.03,0.09,429.2,LIGADA,51.52,6.68
89.13,28.8,7.4,17.69,52.65,17.91,10.75,394.22,DESLIGADA,100.0,6.9
28.87,26.42,5.34,14.45,29.66,31.72,17.81,226.0,LIGADA,40.23,4.83
86.18,18.87,7.35,70.69,33.68,37.48,28.92,30.41,DESLIGADA,92.6,8.0
27.56,32.25,6.33,72.95,22.72,18.9,3.79,312.16,DESLIGADA,37.85,6.96
46.66,29.95,5.88,45.39,28.66,57.59,3.43,327.36,LIGADA,58.07,6.66
48.97,34.55,6.2,61.07,22.19,28.75,7.65,476.8,DESLIGADA,68.2,7.92
24.7,34.64,5.28,16.76,45.63,58.71,16.69,293.23,DESLIGADA,37.44,5.85
81.15,36.82,6.27,74.11,7.83,27.26,9.37,51.8,LIGADA,79.19,7.86
30.83,27.64,7.54,34.51,35.59,16.89,8.36,113.08,DESLIGADA,33.46,6.37
77.29,30.27,6.93,11.84,56.1,59.77,8.02,90.21,DESLIGADA,78.15,6.37
84.51,25.02,5.54,20.03,41.15,14.18,22.23,485.91,LIGADA,100.0,6.06
49.39,24.82,6.11,60.51,47.73,44.06,2.55,26.3,LIGADA,46.51,8.0
72.81,19.0,5.24,41.02,28.32,46.42,12.43,107.78,LIGADA,78.13,7.23
67.48,29.86,6.58,31.59,17.13,69.07,1.64,102.21,LIGADA,67.11,7.69
73.71,33.28,5.87,18.4,32.36,35.84,3.88,266.29,LIGADA,81.53,5.3
76.43,19.44,7.59,12.96,6.03,65.27,25.86,287.88,DESLIGADA,94.69,5.99
69.66,26.35,5.35,11.46,22.86,58.08,18.54,416.01,DESLIGADA,90.75,6.87
37.03,29.78,6.57,37.7,22.07,30.37,9.99,84.07,LIGADA,38.27,6.69
57.14,21.88,7.33,34.58,57.7,48.73,4.43,51.4,DESLIGADA,56.66,8.0
73.22,31.11,5.53,64.1,32.18,55.27,22.8,224.45,DESLIGADA,85.06,8.0
80.5,30.54,5.45,14.78,29.32,28.17,8.24,28.09,LIGADA,78.27,5.56
23.98,34.63,5.23,70.5,52.04,46.9,15.21,231.36,LIGADA,33.19,8.0
51.48,34.2,6.96,32.51,31.16,19.05,1.86,51.75,DESLIGADA,47.79,6.23
65.23,18.78,7.12,79.37,33.82,46.59,10.92,458.97,DESLIGADA,87.7,8.0
48.61,24.77,6.79,65.25,40.6,13.95,2.84,339.19,DESLIGADA,61.47,7.77
87.51,30.05,5.45,15.71,41.5,65.0,9.31,328.03,DESLIGADA,100.0,8.0
29.03,32.18,5.25,49.12,40.39,29.71,3.83,351.42,LIGADA,41.31,6.45
45.33,25.25,5.54,24.99,57.12,39.18,6.8,68.78,LIGADA,45.76,6.34
40.71,33.76,6.52,47.78,45.63,41.59,19.86,438.2,LIGADA,61.83,7.58
32.66,31.86,6.87,73.19,44.67,12.62,10.93,359.79,DESLIGADA,47.56,7.75
62.74,33.05,7.35,26.38,18.15,67.94,23.53,451.99,LIGADA,85.79,6.08
88.91,27.23,5.85,36.73,34.01,67.98,24.51,400.63,LIGADA,100.0,8.0
81.11,19.04,6.44,35.98,56.39,52.68,15.48,62.34,LIGADA,85.06,8.0
83.37,20.95,6.31,76.25,17.21,37.07,10.49,13.34,LIGADA,82.99,8.0
47.75,25.48,6.16,15.71,17.35,29.12,2.97,357.35,DESLIGADA,61.41,5.1
40.08,34.6,7.09,19.72,43.8,36.92,0.16,39.61,DESLIGADA,35.19,5.77
35.1,20.99,7.82,52.62,28.28,56.57,7.13,60.92,LIGADA,36.09,6.7
52.0,20.22,7.72,51.77,5.9,40.92,7.26,71.79,DESLIGADA,53.72,7.1
20.11,25.06,6.71,23.11,41.75,41.41,10.82,476.7,LIGADA,42.18,5.55
64.5,37.62,5.76,11.14,48.37,30.69,21.99,314.13,DESLIGADA,79.28,6.35
29.34,25.05,6.02,55.0,50.67,51.08,29.42,239.27,LIGADA,45.12,8.0
74.33,27.15,5.88,13.07,15.97,12.51,28.0,257.69,DESLIGADA,90.18,4.64
37.73,33.07,5.57,34.99,47.95,61.95,9.96,62.24,DESLIGADA,37.22,7.06
50.78,37.13,6.02,23.08,43.06,32.04,23.92,133.36,LIGADA,57.2,6.47
70.9,19.58,6.81,67.56,35.0,29.27,2.4,330.46,DESLIGADA,84.23,7.88
31.67,26.88,6.34,60.88,55.14,46.89,13.05,319.73,LIGADA,46.2,8.0
25.25,30.75,6.09,66.08,42.37,67.17,4.28,303.79,DESLIGADA,35.57,8.0
74.5,25.33,6.15,49.71,38.28,50.74,28.46,186.01,LIGADA,87.27,8.0
60.17,28.59,6.19,55.47,18.73,16.81,22.07,249.52,DESLIGADA,73.55,7.16
74.25,32.08,5.64,52.83,43.17,69.92,6.01,67.86,LIGADA,73.03,8.0
51.64,35.97,6.34,16.15,42.51,60.73,9.59,173.71,LIGADA,56.01,6.5
41.0,21.15,7.13,59.02,14.58,31.69,6.73,492.57,LIGADA,63.42,6.84
36.57,27.88,6.08,50.06,30.71,68.98,3.89,442.12,LIGADA,54.27,7.38
70.32,28.51,7.31,67.63,9.06,68.34,19.27,224.99,DESLIGADA,81.65,8.0
28.98,34.58,6.65,51.15,47.23,17.74,15.09,434.11,LIGADA,48.3,6.62
31.34,36.69,5.68,76.32,33.54,27.04,2.37,98.15,DESLIGADA,29.62,7.97
28.76,24.06,6.6,45.18,14.27,66.5,4.63,329.37,DESLIGADA,41.81,7.58
77.77,18.57,5.14,54.9,36.72,49.07,23.01,208.29,LIGADA,91.37,7.93
54.86,30.54,5.87,76.97,31.56,58.28,20.55,148.72,LIGADA,62.35,8.0
49.09,27.29,6.02,20.06,52.38,29.16,29.64,172.69,DESLIGADA,61.16,6.02
29.15,25.41,6.68,32.34,30.66,26.05,7.44,48.41,DESLIGADA,28.72,6.79
49.27,37.25,7.71,66.94,56.36,53.27,5.7,79.67,DESLIGADA,47.51,8.0
54.91,24.17,5.07,76.17,32.8,68.0,6.45,176.45,LIGADA,60.83,8.0
79.0,31.45,5.86,10.57,10.91,18.04,7.93,182.89,DESLIGADA,84.23,5.45
45.62,26.01,6.71,23.63,35.43,14.41,15.13,382.2,DESLIGADA,64.07,5.84
62.77,20.57,5.29,36.12,59.27,43.47,10.97,72.13,DESLIGADA,65.55,7.16
55.01,18.91,5.41,33.31,31.06,37.42,18.19,257.75,DESLIGADA,69.57,6.89
47.51,30.33,7.53,51.56,32.9,40.58,14.7,281.46,DESLIGADA,59.93,7.24
77.1,25.37,7.02,78.59,37.1,57.81,21.76,344.02,LIGADA,95.76,8.0
65.89,37.44,6.74,25.93,7.82,38.83,15.73,360.59,DESLIGADA,81.15,5.72
30.34,31.61,5.09,76.37,11.04,11.14,9.41,75.72,LIGADA,30.63,5.94
84.44,35.46,7.21,14.36,12.59,22.44,9.75,331.11,DESLIGADA,96.83,5.71
41.96,21.46,7.74,33.96,24.49,56.32,21.63,321.65,DESLIGADA,60.24,6.34
37.26,29.16,5.67,78.1,21.37,27.34,6.22,352.49,DESLIGADA,50.92,7.65
53.59,29.21,7.8,60.52,20.83,44.41,16.3,447.88,DESLIGADA,75.03,8.0
76.32,23.81,5.86,59.99,24.05,36.54,7.69,239.54,LIGADA,85.84,7.02
77.96,23.42,6.69,29.01,11.01,54.45,7.18,25.38,LIGADA,76.7,6.81
48.93,32.35,5.3,63.95,5.28,43.02,27.87,203.45,DESLIGADA,60.99,7.14
53.42,21.99,7.89,32.48,40.52,64.48,2.68,287.07,LIGADA,64.18,7.69
81.76,21.52,7.76,79.8,26.83,39.72,28.1,481.07,DESLIGADA,100.0,8.0
81.37,18.19,6.7,17.51,59.06,27.07,29.67,271.65,DESLIGADA,100.0,7.23
55.29,23.46,7.43,33.15,45.21,48.9,21.56,7.04,DESLIGADA,57.42,7.14
75.35,29.36,7.27,22.28,52.09,63.82,24.81,257.64,LIGADA,89.8,7.69
88.72,27.55,7.81,10.48,26.1,36.8,8.01,164.81,LIGADA,93.85,5.92
38.31,25.19,5.71,56.75,30.6,19.58,20.58,461.55,DESLIGADA,62.52,6.61
85.84,25.35,5.66,77.02,31.3,37.3,29.67,186.81,DESLIGADA,99.01,8.0
73.01,34.04,7.48,63.33,42.42,45.75,23.62,262.75,DESLIGADA,86.43,8.0
24.32,28.95,6.52,50.09,13.24,29.69,15.61,58.12,LIGADA,26.12,6.58
70.18,27.78,7.7,41.18,8.06,17.92,12.46,281.96,DESLIGADA,82.46,5.68
21.52,23.09,5.01,25.25,9.02,35.42,21.01,270.58,LIGADA,36.73,4.2
85.42,19.38,7.8,12.22,27.49,56.14,22.97,489.17,DESLIGADA,100.0,5.7
51.4,36.34,6.13,15.62,58.03,62.47,3.99,430.14,LIGADA,66.84,8.0
32.49,28.75,6.59,60.95,17.25,10.21,0.68,149.18,DESLIGADA,34.4,5.58
37.33,24.92,5.83,75.62,44.88,16.77,24.28,209.62,LIGADA,50.11,7.99
36.85,19.35,6.78,41.25,41.96,62.33,7.34,22.12,DESLIGADA,36.29,7.88
80.46,19.13,6.51,30.25,49.87,53.89,9.57,298.96,DESLIGADA,94.45,8.0
36.58,35.53,7.96,46.49,27.75,26.51,16.7,295.83,LIGADA,49.28,5.88
54.69,37.45,7.82,56.99,48.22,29.12,12.49,74.61,DESLIGADA,54.68,7.49
32.87,28.76,5.72,25.77,52.16,18.66,13.89,28.81,DESLIGADA,32.73,6.46
29.39,22.86,5.61,55.27,55.72,60.83,2.77,362.29,LIGADA,43.76,8.0
23.61,25.54,6.81,12.77,9.0,58.28,17.63,335.73,LIGADA,40.58,4.04
43.31,37.14,5.05,75.6,57.91,17.04,29.99,239.46,LIGADA,56.85,8.0
68.69,32.08,6.19,26.75,22.69,26.98,13.99,324.36,DESLIGADA,82.69,6.06
54.81,19.97,7.94,42.86,51.19,64.86,11.12,206.97,LIGADA,64.5,8.0
71.89,18.32,6.66,50.88,44.6,27.71,5.89,115.01,LIGADA,75.74,7.37
67.94,23.15,7.46,77.66,40.29,39.44,5.05,397.49,LIGADA,84.7,8.0
29.8,28.93,5.55,72.26,59.47,67.43,15.72,419.53,LIGADA,49.71,8.0
73.5,26.25,7.53,26.2,43.89,10.55,15.17,186.6,DESLIGADA,82.13,5.85
66.15,18.31,6.6,38.79,5.92,53.33,16.07,143.34,DESLIGADA,74.48,7.39
27.49,19.93,5.45,23.44,33.96,58.91,8.02,198.45,DESLIGADA,35.83,5.16
87.15,27.18,5.73,58.81,21.5,59.68,2.42,495.84,LIGADA,100.0,8.0
58.69,19.12,5.03,22.0,32.49,36.03,23.53,282.93,LIGADA,76.07,6.16
82.64,36.38,5.69,73.09,43.08,44.01,8.13,462.08,DESLIGADA,100.0,8.0
22.3,36.58,5.94,77.3,37.29,55.14,21.38,199.15,LIGADA,31.36,8.0
40.95,29.28,6.7,69.46,42.24,42.43,11.52,369.87,LIGADA,57.04,7.42
23.76,26.74,7.52,33.84,47.3,67.29,11.9,386.78,LIGADA,41.32,7.29
64.39,33.67,6.35,25.97,35.42,32.53,5.57,292.94,DESLIGADA,73.97,7.18
75.86,32.26,5.25,20.8,44.14,48.03,22.19,158.34,LIGADA,83.98,7.3
26.41,36.86,6.33,63.29,10.62,15.24,12.93,278.49,DESLIGADA,36.84,6.59
58.8,29.94,7.35,70.46,5.68,34.83,23.38,362.42,LIGADA,77.95,7.79
60.04,21.39,6.14,19.72,21.56,39.59,1.9,217.34,DESLIGADA,67.2,5.64
45.28,36.88,7.16,44.71,38.92,37.47,4.06,3.38,DESLIGADA,39.29,8.0
43.26,30.4,7.41,33.07,23.41,58.93,25.79,487.11,LIGADA,69.27,6.5
68.67,27.58,5.53,37.88,22.55,54.09,18.99,483.88,LIGADA,93.05,7.92
42.81,23.61,7.36,35.55,56.26,21.99,29.92,89.96,LIGADA,51.56,7.26
69.59,26.77,5.87,58.5,50.04,57.74,12.27,249.65,DESLIGADA,80.4,8.0
36.94,31.17,7.15,65.24,9.07,69.44,14.38,200.4,DESLIGADA,45.04,7.31
45.17,35.91,6.61,54.67,9.67,56.14,19.73,177.5,LIGADA,52.78,7.34
59.43,30.9,6.94,77.68,23.24,57.77,3.18,49.3,LIGADA,56.67,8.0
60.64,29.5,6.34,37.38,47.48,45.32,15.01,172.48,LIGADA,67.87,7.78
53.79,23.91,7.76,16.01,50.72,53.81,10.45,171.53,LIGADA,60.72,6.18
26.83,32.44,6.36,14.7,7.46,52.65,0.68,171.54,LIGADA,29.12,4.97
67.4,21.29,7.95,27.07,14.59,19.61,16.8,479.23,LIGADA,92.14,5.5
33.05,31.15,6.19,61.62,53.57,36.97,12.89,2.23,LIGADA,30.8,7.69
34.4,33.05,7.43,14.38,10.6,62.32,5.61,162.99,DESLIGADA,37.62,5.88
54.26,37.32,5.94,37.2,26.59,16.85,10.56,228.93,LIGADA,61.41,6.57
76.96,32.12,5.89,53.01,9.66,18.04,3.54,152.69,LIGADA,79.23,6.64
47.19,29.93,6.72,39.61,31.77,42.24,27.57,465.35,LIGADA,72.74,7.28
58.84,27.79,5.42,32.02,29.81,13.22,10.77,4.79,LIGADA,56.75,5.91
59.31,31.06,6.23,44.42,44.06,36.63,5.02,282.7,LIGADA,68.74,8.0
40.45,23.5,6.61,21.77,30.15,54.55,22.98,274.86,LIGADA,56.39,6.05
58.02,37.82,6.63,62.98,46.8,36.48,6.56,212.58,LIGADA,63.05,8.0
40.84,37.99,6.35,34.4,49.92,36.34,29.82,387.82,LIGADA,61.58,7.28
68.24,35.22,6.83,39.97,38.89,57.09,24.41,402.72,DESLIGADA,88.65,8.0
57.26,29.94,5.51,78.53,21.09,44.36,28.57,257.21,LIGADA,72.7,8.0
48.81,19.19,5.83,55.91,43.58,17.96,4.39,161.05,LIGADA,54.34,8.0
73.3,31.52,6.47,50.42,19.78,34.85,13.56,316.81,LIGADA,86.9,6.93
68.63,35.55,6.36,44.16,37.01,62.13,25.42,46.57,DESLIGADA,71.47,8.0
64.44,31.95,7.55,65.7,26.87,68.09,24.75,247.36,DESLIGADA,77.84,8.0
60.46,29.32,6.46,34.06,42.54,12.9,2.99,391.94,DESLIGADA,75.09,6.16
21.14,36.59,5.47,41.96,59.55,35.67,29.87,454.7,DESLIGADA,45.52,7.7
39.18,31.09,5.75,36.03,54.71,19.93,11.89,152.75,LIGADA,44.17,7.58
50.05,19.82,5.29,24.94,9.29,45.62,15.58,222.53,LIGADA,61.89,5.22
89.17,26.45,5.4,14.96,26.07,53.85,3.07,156.68,DESLIGADA,92.64,5.73
29.6,33.47,7.26,19.32,59.61,18.57,15.92,4.24,LIGADA,27.89,4.93
63.97,21.03,6.24,58.06,52.3,15.2,3.01,376.22,DESLIGADA,79.48,8.0
44.61,26.59,7.37,27.35,40.45,24.89,18.03,360.59,DESLIGADA,62.73,6.1
79.35,31.17,5.9,46.24,33.02,54.87,8.87,27.28,LIGADA,77.14,7.6
54.64,20.25,6.5,51.58,34.06,68.66,29.61,466.96,LIGADA,82.82,8.0
49.46,28.93,5.52,42.97,59.31,14.38,17.62,6.9,LIGADA,49.3,7.68
22.79,19.21,7.37,45.46,39.57,40.06,12.46,350.91,LIGADA,40.23,6.46
30.69,19.67,5.24,74.46,58.59,19.32,9.8,293.22,LIGADA,44.36,7.82
41.71,26.75,7.86,26.7,18.45,65.48,3.48,306.15,LIGADA,52.71,5.98
71.85,20.39,7.12,59.1,14.01,67.18,15.69,391.49,DESLIGADA,92.05,8.0
31.69,20.54,7.34,28.81,53.75,56.29,0.88,403.55,DESLIGADA,48.02,6.74
88.25,30.55,6.49,45.75,8.05,61.56,5.01,78.65,LIGADA,87.58,8.0
82.6,31.48,5.35,61.85,5.14,61.52,0.37,22.99,DESLIGADA,77.56,8.0
85.18,35.15,6.66,73.98,45.74,35.16,9.65,208.13,DESLIGADA,91.45,8.0
38.99,19.56,6.12,45.14,54.61,20.76,24.13,490.71,DESLIGADA,66.85,7.69
39.76,34.9,5.98,48.72,5.44,22.04,16.91,151.95,LIGADA,45.45,6.13
52.47,29.83,6.48,64.08,15.75,64.03,22.81,122.56,LIGADA,59.48,8.0
57.91,30.72,7.08,10.67,23.43,55.54,11.29,369.04,DESLIGADA,73.6,5.84
27.28,28.6,5.71,44.44,8.29,69.82,21.35,46.51,LIGADA,30.29,7.36
69.06,25.45,7.92,15.94,10.26,18.01,24.6,37.42,LIGADA,73.22,4.24
50.45,37.28,5.71,28.27,22.33,58.05,21.02,367.68,DESLIGADA,67.68,6.25
86.05,20.72,7.31,17.63,10.81,36.97,9.42,60.37,DESLIGADA,87.75,5.9
87.52,22.15,5.92,28.55,11.6,19.46,20.58,413.19,LIGADA,100.0,6.15
30.38,32.22,7.91,37.74,7.69,27.93,24.6,86.93,DESLIGADA,35.66,6.1
79.82,29.12,6.65,16.63,10.6,57.63,3.64,30.83,LIGADA,76.63,7.06
46.06,30.61,6.93,50.76,19.24,58.76,0.65,32.24,DESLIGADA,41.75,8.0
76.65,19.84,7.54,66.62,11.74,66.54,1.52,462.07,DESLIGADA,96.24,8.0
22.06,31.66,5.52,25.03,15.29,26.79,26.5,17.32,LIGADA,24.54,4.21
65.31,27.98,7.65,43.53,9.82,32.98,12.58,321.33,LIGADA,79.55,5.81
75.64,37.79,7.35,35.14,34.95,39.08,27.38,251.2,DESLIGADA,88.86,6.58
38.93,18.52,6.79,12.05,49.59,26.86,24.26,235.84,DESLIGADA,54.3,5.8
88.18,20.0,6.97,28.66,49.9,65.04,1.68,498.2,LIGADA,100.0,6.54
60.3,37.65,6.17,75.46,59.53,20.42,7.1,159.0,DESLIGADA,62.85,8.0
69.04,36.95,6.69,49.42,15.35,69.28,26.45,246.11,DESLIGADA,81.89,8.0
32.29,18.76,5.17,52.12,6.1,38.68,9.95,307.07,LIGADA,46.88,6.03
76.17,35.36,5.18,20.34,43.76,18.5,3.33,263.15,DESLIGADA,83.25,6.28
87.24,25.47,7.83,37.69,10.56,28.11,4.09,78.75,DESLIGADA,87.31,6.72
65.44,21.48,7.91,58.55,56.09,57.22,6.7,294.48,LIGADA,77.88,7.98
46.49,32.68,5.88,22.44,5.1,52.12,17.19,425.38,LIGADA,66.38,5.76
